StkID,Year,Catch,Spn
17,1962,4790,2429
17,1963,15494,11651
17,1964,5697,1731
17,1965,111844,15213
17,1966,11056,1817
17,1967,65866,12022
17,1968,24511,2270
17,1969,90171,36576
17,1970,29843,4752
17,1971,141413,17783
17,1972,69372,3503
17,1973,102426,19479
17,1974,26715,3764
17,1975,59993,17126
17,1976,15613,1793
17,1977,49800,18311
17,1978,23174,2584
17,1979,92732,60075
17,1980,10676,3222
17,1981,111598,19833
17,1982,32622,2349
17,1983,65196,29786
17,1984,29209,7876
17,1985,64822,13825
17,1986,5405,3549
17,1987,107419,39515
17,1988,24608,9311
17,1989,40727,5008
17,1990,15489,6033
17,1991,114485,61174
17,1992,57257,7728
17,1993,15072,9595
17,1994,14930,2008
17,1995,23845,23998
17,1996,25301,38654
17,1997,67520,9499
17,1998,4198,3705
17,1999,16041,10342
17,2000,251262,200294
17,2001,42710,54771
17,2002,2729,1925
17,2003,6088.235199,3163
17,2004,120701.939,22603
17,2005,17806.29249,21834
17,2006,19468.17613,8655
17,2007,1699.787284,1741
17,2008,74884.27388,65975
17,2009,5287.435124,11400
17,2010,16229.05331,26142
17,2011,16738.03201,10056
16,1952,22956,7070
16,1953,516,74
16,1954,255,45
16,1955,546,77
16,1956,29536,7807
16,1957,7577,891
16,1958,357,61
16,1959,1847,582
16,1960,9154,5413
16,1961,1997,248
16,1962,269,159
16,1963,4861,4113
16,1964,63833,19396
16,1965,12071,1642
16,1966,343,65
16,1967,5631,1138
16,1968,89966,10244
16,1969,2031,777
16,1970,250,78
16,1971,4650,426
16,1972,70311,8323
16,1973,3164,795
16,1974,252,70
16,1975,5739,1982
16,1976,110904,17207
16,1977,7186,2582
16,1978,5049,258
16,1979,12060,3828
16,1980,42747,25088
16,1981,14761,4670
16,1982,3492,930
16,1983,8716,7384
16,1984,48054,28899
16,1985,11342,4578
16,1986,5207,3572
16,1987,17657,9417
16,1988,70366,44998
16,1989,118946,17026
16,1990,25782,5374
16,1991,13996,9159
16,1992,251822,41747
16,1993,25061,17952
16,1994,15911,3396
16,1995,13898,7181
16,1996,77213,99998
16,1997,41734,6498
16,1998,9355,7248
16,1999,7163,4507
16,2000,100904,88647
16,2001,7207,12921
16,2002,2843,2173
16,2003,18884.50064,9811
16,2004,45440.08138,9606
16,2005,10866.82594,15150
16,2006,6428.659432,2858
16,2007,1584.23211,2555
16,2008,14081.25969,14838
16,2009,2644.467653,9878
16,2010,6594.750253,15766
16,2011,36370.41191,55860
18,1952,156143,48899
18,1953,82979,19023
18,1954,88300,17624
18,1955,78855,17950
18,1956,86399,32094
18,1957,32243,12335
18,1958,41000,10381
18,1959,75789,15731
18,1960,90251,24510
18,1961,34848,11158
18,1962,23684,16580
18,1963,12277,12680
18,1964,32640,13756
18,1965,47268,6966
18,1966,79290,20842
18,1967,112147,10282
18,1968,85279,16988
18,1969,133704,25073
18,1970,42143,6642
18,1971,61738,15452
18,1972,68429,13412
18,1973,64649,11895
18,1974,53095,20581
18,1975,84814,39920
18,1976,167567,36525
18,1977,46872,13852
18,1978,46128,24786
18,1979,108310,37542
18,1980,18387,17101
18,1981,81489,25327
18,1982,21476,8708
18,1983,11037,16852
18,1984,29508,15797
18,1985,5608,3560
18,1986,6997,29177
18,1987,18000,13637
18,1988,31165,37747
