Year,Total.Catch,Total.ER,Total.Run,StkNmXLS
1967,175777,0.8472323976247397,207472,B
1968,31120,0.8960294837465089,34731,B
1969,14989,0.7947086580775145,18861,B
1970,20920,0.9412823397075366,22225,B
1971,169413,0.8691857780514084,194910,B
1972,45768,0.9170841181421071,49906,B
1973,18694,0.8039738517116807,23252,B
1974,15184,0.8913936832217917,17034,B
1975,94637,0.7611330496955854,124337,B
1976,14956,0.8692316633732419,17206,B
1977,8150,0.7652582159624414,10650,B
1978,12685,0.8015291292809301,15826,B
1979,88471,0.7165326270946214,123471,B
1980,5134,0.6395117090184355,8028,B
1981,4705,0.8008510638297872,5875,B
1982,47777,0.9666761087730658,49424,B
1983,9987,0.607555663706047,16438,B
1984,42972,0.8041920089828763,53435,B
1985,14093,0.687061232449298,20512,B
1986,1759,0.3602293671922998,4883,B
1987,27737,0.7147237682951969,38808,B
1988,33874,0.7260685043083123,46654,B
1989,19794,0.8865102113937656,22328,B
1990,15430,0.6625161013310433,23290,B
1991,13888,0.738448450045196,18807,B
1992,11364,0.7121193131971425,15958,B
1993,5141,0.8128063241106719,6325,B
1994,9317,0.3483902329581573,26743,B
1995,23933,0.41016281062553556,58350,B
1996,3531,0.3016144187238404,11707,B
1997,15727,0.8160120375655061,19273,B
1998,1960,0.19121951219512195,10250,B
1999,6226,0.21323378313583122,29198,B
2e3,9514,0.4144811361854143,22954,B
2001,1574,0.21224379719525352,7416,B
2002,6191,0.4138092373504445,14961,B
2003,12735.454101004492,0.5001489700674643,25463.321656518914,B
2004,13974.70837085522,0.5848710817106487,23893.655897606644,B
2005,1392.132449227884,0.23882072319272632,5829.194513009011,B
2006,3495.499215092723,0.36526569991804597,9569.7439312725,B
2007,1590.9998708414705,0.38250101443692835,4159.465755100147,B
2008,1168.9483052791202,0.3839476236106477,3044.5514788874516,B
2009,618.7726789291338,0.12478343311812394,4958.772678929134,B
2010,4421.417183832009,0.2887946098217399,15309.902032316857,B
2011,4828.117206135806,0.4397345659225424,10979.617206135805,B
2012,85.32959464455946,0.33607424485237875,253.90102321598803,B
2013,865.8916560175862,0.155851069392208,5555.891656017586,B
2014,9562.210290614486,0.3851891997398127,24824.710290614486,B
2015,1487.683041688916,0.18051449026372612,8241.349708355583,B
2016,NA,NA,NA,B
2017,NA,NA,NA,B
2018,NA,NA,NA,B
